nproyecto,nrecurso
Cowen Inc.,67304-48073-HK
Mantos de la Luna,89464-27385-OM
El Soldado,65452-5604-MB
AGCO Corporation,76485-44288-EJ
Pupunahue,75031-24909-MN
"Cleveland BioLabs, Inc.",59746-20358-HO
Microsemi Corporation,58101-40860-JI
Intracampos,69718-98623-BG
Talcuna,75509-97892-KM
"HD Supply Holdings, Inc.",76128-12369-II
Suncor EnergyInc.,87172-3048-DH
Lambert,53573-86566-BD
Apollo Senior Floating Rate Fund Inc.,17182-65935-HB
Walter Investment Management Corp.,2920-82329-BB
Ministro Hales,19443-10989-HN
Quebrada Blanca,16561-26599-LO
B.O.S. Better Online Solutions,78482-66717-MM
Choquelimpie,14025-66299-MG
"HD Supply Holdings, Inc.",41031-43442-MN
SQM Salar,90185-26182-IJ
"Urban One, Inc. ",51353-81568-LK
Lambert,71069-95786-KF
Quebrada Blanca,55208-91651-GM
Pullalli,53600-35156-BJ
Coirón,20310-73311-JN
Patriot National Bancorp Inc.,8160-25946-MD
Catamutún,92438-13935-AI
Biglari Holdings Inc.,95073-29142-GI
Microsemi Corporation,86490-78071-HG
"Appliance Recycling Centers of America, Inc.",93308-24631-MB
Mackinac Financial Corporation,35390-49013-GH
"Pepsico, Inc.",96547-34167-BG
Azul S.A.,56166-70554-OL
Dollar General Corporation,93558-50473-BH
Los Pelambres,5105-4950-BL
Mackinac Financial Corporation,12646-90536-FM
"Fiserv, Inc.",12579-22401-DB
"Texas Capital Bancshares, Inc.",35233-26698-JD
B.O.S. Better Online Solutions,92637-72986-BN
Lota,67315-49919-BN
SQM - Pedro de Valdivia,47057-85113-KF
"ILG, Inc",79581-20861-EE
Novelion Therapeutics Inc.,72073-14942-OG
Faride,37441-78691-GG
PowerShares KBW High Dividend Yield Financial Portfolio,90106-29477-FD
Quiborax - Ascotán,46718-68944-BI
Pampa Camarones,71813-37797-OM
The9 Limited,23235-47613-DB
"Under Armour, Inc.",49109-42498-FJ
Costamare Inc.,89637-78368-JB
Mantos de la Luna,25327-23465-HM
Nuveen Michigan Quality Municipal Income Fund,3190-40592-BG
Limoneira Co,83550-87501-FM
Lenga,41539-85011-OF
CMP - Cerro Negro Norte,67381-57206-KK
El Tesoro,66025-66485-DH
Choquelimpie,94803-49132-MB
Virco Manufacturing Corporation,10054-99600-KG
"Clear Channel Outdoor Holdings, Inc.",42800-61412-FJ
BLDRS Developed Markets 100 ADR Index Fund,84970-17678-MJ
Quiborax - Ascotán,58048-1933-GE
Pupunahue,88261-16112-AB
"First Financial Bankshares, Inc.",62203-44591-JB
AbbVie Inc.,75069-48661-HI
Gladstone Commercial Corporation,58737-14385-GB
Urstadt Biddle Properties Inc.,70862-37616-ED
Tranquilo,13598-59243-IH
The Community Financial Corporation,18868-88259-LB
Aircastle Limited,18074-74031-LE
Quebrada Blanca,67568-47104-MM
Navío,88535-5498-EO
Celite - Carol,46598-14993-IM
Carvana Co.,13123-10628-DF
"Argos Therapeutics, Inc.",75850-96854-FB
PrimeEnergy Corporation,43599-56940-BI
Elkhorn Commodity Rotation Strategy ETF,30377-57221-GM
"Idera Pharmaceuticals, Inc.",9651-88280-LM
Choquelimpie,42790-68666-NN
Crawford & Company,91635-26182-BL
Container Store (The),16579-74761-JA
Marine Petroleum Trust,67129-44756-GJ
Cordillera - Tenardita,9162-42552-GH
Kilroy Realty Corporation,83263-98052-NI
Michilla,1027-95262-FL
First Trust International Multi-Asset Diversified Income Index,94509-10621-DF
La Marcelina,11666-30152-NN
"Argos Therapeutics, Inc.",47017-61829-GA
Vina Concha Y Toro,17842-25643-IA
Diana Shipping inc.,14931-16683-AH
R.R. Donnelley & Sons Company,38876-72246-NO
Iván,66265-78819-IN
Cohen & Steers Reit and Preferred Income Fund Inc,85252-457-IJ
Enel Generacion Chile S.A.,1187-4959-LB
Entegra Financial Corp.,72469-27651-FM
El Abra,46651-43141-IB
iShares MSCI EM ESG Optimized ETF,99773-79911-NL
Isla Guarello,49-82321-GM
"Everspin Technologies, Inc.",17999-35146-EN
Las Arenitas,52158-53281-LD
Gabriela Mistral,57225-56131-BD
Eaton Vance Corporation,19803-92208-BB
The Community Financial Corporation,62097-72387-LJ
Crawford & Company,2276-25077-IB
PowerShares Golden Dragon China Portfolio,79937-15966-FO
VictoryShares US 500 Enhanced Volatility Wtd ETF,55606-20829-AB
Novanta Inc.,27302-40319-HO
El Tofo,98801-67486-MF
Bed Bath & Beyond Inc.,41724-9363-OJ
"Investors Bancorp, Inc.",3744-35076-AK
SCL Chemetall,12698-1586-BG
Chimberos,28054-43137-IB
3M Company,37397-69324-NG
Choquelimpie,56470-11334-EK
Peckett,67232-24664-OM
Navío,48967-935-OE
El Teniente,67027-67951-KA
Cowen Inc.,84610-58971-OB
Ministro Hales,21394-12539-EM
"Everspin Technologies, Inc.",12917-31184-NA
KT Corporation,20974-39769-AB
First Trust South Korea AlphaDEX Fund,54170-84703-KM
SCL Chemetall,55369-87051-BJ
Terreno Realty Corporation,15874-30628-BB
Torchmark Corporation,13956-57586-BN
Great Elm Capital Corp.,11482-27558-NO
La Picarda,46272-14028-OH
First Trust Multi-Asset Diversified Income Index Fund,45769-7714-MO
"Meridian Waste Solutions, Inc",85696-56483-BB
CoreSite Realty Corporation,27520-60265-AF
Lambert,72479-73346-BL
San Gerónimo,2891-91876-HB
Randgold Resources Limited,49645-23040-MB
The9 Limited,73635-97097-HF
Flor de Los Andes,95563-14110-LB
"Edge Therapeutics, Inc.",36396-48082-JK
"LTC Properties, Inc.",94846-21906-OL
Cordillera - Tenardita,45342-3190-NL
"Avenue Therapeutics, Inc.",81023-5125-IM
Cerro Negro,15760-56445-LI
Voya Global Equity Dividend and Premium Opportunity Fund,29097-8320-KL
Lomas Bayas,72157-74055-KB
Johnson & Johnson,16408-20105-HL
Cowen Inc.,44878-76057-NM
CoreSite Realty Corporation,40088-86893-NN
Comcast Corporation,25013-99227-DB
Cerro Casale,74060-21988-FK
El Salvador,18570-66287-ID
Old Republic International Corporation,88624-26584-FM
Isla Guarello,76603-67064-DB
"Universal Stainless & Alloy Products, Inc.",43997-46379-JB
Navío,51377-5505-FD
Inacesa - El Way,21678-10571-KK
PowerShares Nasdaq Internet Portfolio,40308-622-IL
West Corporation,60214-18716-DB
iShares 20+ Year Treasury Bond ETF,56005-79047-GB
"PDF Solutions, Inc.",91067-82447-DB
BlackRock Municipal Target Term Trust Inc. (The),5019-29546-EB
Zaldívar,67466-16074-ND
"Chegg, Inc.",27255-27600-KM
Array BioPharma Inc.,71896-52158-FF
"First Hawaiian, Inc.",57535-97512-KG
Yelp Inc.,17097-22522-NE
CVS Health Corporation,40410-29292-KF
Laguna Siren,513-66263-DB
Guaranty Bancorp,94392-2322-NB
First Trust Multi-Asset Diversified Income Index Fund,6646-24854-GI
"Cogentix Medical, Inc.",56653-47539-BF
Unisys Corporation,43320-3612-BI
Yahoo! Inc.,40138-62117-IA
La Patagua,89968-3044-KH
iPath US Treasury Long Bond Bear ETN,91598-16802-AF
Biglari Holdings Inc.,87596-89507-MB
Cosayach - Negreiros,48012-10462-IH
Jazz Pharmaceuticals plc,89132-59531-BJ
Orbotech Ltd.,48205-47247-AI
Johnson & Johnson,30182-99963-DF
Cosayach - Cala Cala,91782-27431-KB
Aircastle Limited,66078-15498-NJ
NVIDIA Corporation,75918-97924-AH
Haldeman - Sagasca,75525-66874-LL
"NextEra Energy, Inc.",89140-87414-BK
Cowen Inc.,69557-33884-GM
Bronce de Petorca,22564-14654-BA
La Perla,23825-7900-DO
Inacesa - El Way,8212-37519-FL
Unisys Corporation,48941-1772-MO
Peapack-Gladstone Financial Corporation,56322-69050-LF
"India Fund, Inc. (The)",71909-9121-EA
SQM - Mapocho,25354-94152-GG
Walter Investment Management Corp.,63133-35452-ML
Zaldívar,16842-63295-BL
Tekla Healthcare Opportunies Fund,77103-12183-IH
Escondida,55897-21184-IL
EQT Corporation,68992-36762-BN
CoreSite Realty Corporation,47036-35262-KE
Westpac Banking Corporation,47250-7362-HO
"OraSure Technologies, Inc.",41048-61745-MB
Johnson & Johnson,40536-40230-BI
Moog Inc.,58472-26545-NF
Lomas Bayas,62673-50538-NM
"Delcath Systems, Inc.",21968-11499-KB
Lions Gate Entertainment Corporation,26234-62725-II
CMP - Boquerón Chañar,37974-49722-JF
Arenal,11548-4720-FO
"Pepsico, Inc.",74739-46117-HA
BLDRS Asia 50 ADR Index Fund,25222-84331-KN
Aircastle Limited,2918-63761-MI
"OraSure Technologies, Inc.",73382-98646-JN
CMP - Algarrobo,18133-1517-OH
Candelaria,69049-94649-BG
BLDRS Asia 50 ADR Index Fund,31603-82950-ID
American Homes 4 Rent,36226-77191-LO
"Tootsie Roll Industries, Inc.",20194-85070-KJ
Cerro Negro,51770-44692-LF
Yelp Inc.,10735-95032-HO
First Trust Senior Loan Fund ETF,1239-35036-AD
Haldeman - Sagasca,5352-66403-EG
"Recon Technology, Ltd.",33856-67901-IL
"Diamond Hill Investment Group, Inc.",92631-54924-OL
Cerro Casale,82181-98506-KF
"Safe Bulkers, Inc",69844-70464-AJ
"LTC Properties, Inc.",8197-93554-BF
First Trust South Korea AlphaDEX Fund,85401-16748-GI
SAP SE,21263-35745-DH
Cambrex Corporation,5775-88240-BG
"Hurco Companies, Inc.",41558-87237-DO
Royal Caribbean Cruises Ltd.,67834-83757-BA
"ILG, Inc",91257-16132-IL
Dorado,98958-69776-NK
"Nustar GP Holdings, LLC",79807-89811-KE
"H&R Block, Inc.",49374-54172-JK
PIMCO Dynamic Credit and Mortgage Income Fund,89176-27468-MN
Pupunahue,66734-80743-KF
Faride,42673-95156-DM
Andes Travertine,17327-45092-AL
Andina,608-76704-BE
VictoryShares US 500 Enhanced Volatility Wtd ETF,2672-50567-LL
Novelion Therapeutics Inc.,40158-65656-HN
Abeona Therapeutics Inc.,95984-75860-GL
Pascua,60547-71595-NL
"HD Supply Holdings, Inc.",76683-97962-OD
Las Piedras,38498-71025-AA
Dorado,99849-76657-JK
Lomas Bayas,9481-70435-BJ
SQM Salar,24770-25219-GF
San José,88209-3660-DA
Aircastle Limited,53812-66755-HB
"Hawkins, Inc.",3235-68492-OG
"OraSure Technologies, Inc.",47180-92353-MG
Jerónimo,87228-23196-NK
Mantos Blancos,48059-59380-NM
Kite Realty Group Trust,97622-60078-II
Mantos de la Luna,13975-32994-DB
"Delcath Systems, Inc.",51052-25956-KO
"Investors Bancorp, Inc.",64042-71850-BK
Drive Shack Inc.,69756-8660-JA
Julia,44712-75495-DE
CoreSite Realty Corporation,96165-59575-DB
PowerShares BuyBack Achievers Portfolio,99926-37564-BF
Caserones,3913-38890-MB
Nuveen AMT-Free Municipal Value Fund,34660-65964-GO
Cerro Casale,53846-12992-DM
Andina,82327-96545-OL
CVS Health Corporation,42716-79574-BD
"Gabelli Equity Trust, Inc. (The)",27407-62491-ID
Cerro Negro,25225-64192-BN
Escondida,9900-53453-HI
Kamada Ltd.,81631-52787-FI
"Evolving Systems, Inc.",49129-96496-KO
Pinatolca,79204-42594-HN
Cerro Negro,24385-23675-BO
"Kura Oncology, Inc.",50280-89381-NB
"Hurco Companies, Inc.",99610-95418-BB
"Kayne Anderson Energy Total Return Fund, Inc.",70255-14000-NL
El Volcán,90176-35762-JE
Toll Brothers Inc.,54237-87035-AB
"Pepsico, Inc.",7598-70517-HK
Imax Corporation,7363-81577-MI
"FSB Bancorp, Inc.",40590-83510-FE
Enel Generacion Chile S.A.,93944-89803-LM
Nuveen AMT-Free Municipal Value Fund,85519-51262-BB
RenaissanceRe Holdings Ltd.,59671-26861-HO
Northern Trust Corporation,38788-41225-MM
Pupunahue,3629-67875-NN
Victoria,91831-62168-KD
"Gabelli Equity Trust, Inc. (The)",77974-16284-DI
American Homes 4 Rent,73041-92698-EE
Gabriela Mistral,81969-76005-NB
Envision Healthcare Corporation,52249-36153-NM
Kraton Corporation,10237-38712-BG
GlaxoSmithKline PLC,18737-64113-GK
ENGlobal Corporation,18149-98622-AF
Tranquilo,9573-39175-JD
"Dupont Fabros Technology, Inc.",95588-93832-AF
Cóndor,33163-99593-BF
Pascua,12605-46432-NJ
"Herman Miller, Inc.",48991-40297-KE
B.O.S. Better Online Solutions,53158-62002-BM
Antucoya,79472-65911-DB
Regal Entertainment Group,44427-14543-JM
Algorta,27876-98882-FG
Candelaria,37115-82510-GG
Stamps.com Inc.,25841-29450-OA
Fair Isaac Corporation,50143-67809-KO
Candelaria,3605-73147-LN
Manantial,83701-49851-AA
Marte Lobo,48087-59025-IO
"MasTec, Inc.",7649-52483-NB
"MasTec, Inc.",13757-66153-AF
BlackRock Municipal Target Term Trust Inc. (The),80181-48975-LM
"Waste Management, Inc.",20021-61704-BF
Lions Gate Entertainment Corporation,78360-31512-AD
Diageo plc,96423-1548-JK
"Avenue Therapeutics, Inc.",92624-74988-NB
Maganeso III de Atacama,55445-5534-BD
Esperanza,55529-14183-NO
"Taiwan Fund, Inc. (The)",11426-66438-LO
Microsemi Corporation,97052-3846-AN
Imax Corporation,56647-98503-HB
Can Can,55023-29694-MM
Gladstone Commercial Corporation,1459-38590-EA
Jerónimo,67325-91583-BM
Intracampos,94594-72524-KH
Container Store (The),63038-42350-JI
Antucoya,84932-80478-GN
Cosayach - Soledad,35488-22861-HL
Crawford & Company,65487-5458-KN
L.B. Foster Company,81788-51237-DF
III de Atacama Kozan,71355-37908-BK
Silvercrest Asset Management Group Inc.,46965-6465-LN
Dos Amigos,16430-31569-EA
Spence,44622-73204-DB
First Trust Emerging Markets Small Cap AlphaDEX Fund,98646-21629-NF
PIMCO Dynamic Credit and Mortgage Income Fund,42977-3874-JA
"Avenue Therapeutics, Inc.",46845-95343-NE
"AMC Entertainment Holdings, Inc.",48347-30944-KA
Tranquilo,51268-9229-FH
"Arista Networks, Inc.",26983-97498-GA
"Gray Television, Inc.",74322-42896-KL
Tranquilo,54484-31298-BA
"Edge Therapeutics, Inc.",79389-67273-IF
Peckett,71026-4123-HK
"International Seaways, Inc.",98016-35806-EK
iPath US Treasury Long Bond Bear ETN,53065-67221-IB
PTC Inc.,61994-25528-BL
"Idera Pharmaceuticals, Inc.",59198-45079-ID
The9 Limited,19976-99821-OB
PowerShares Nasdaq Internet Portfolio,48749-91906-MG
"Arista Networks, Inc.",22749-78032-GD
"Spark Energy, Inc.",81803-86362-LO
"Sarepta Therapeutics, Inc.",36862-41730-ON
Colico Sur,15719-3441-MN
iPath US Treasury Long Bond Bear ETN,64331-13995-JJ
"HD Supply Holdings, Inc.",92614-73936-HB
Lambert,26392-873-ND
Colico Sur,79945-39987-FN
L.B. Foster Company,87588-50356-FB
SQM - Pedro de Valdivia,51707-94533-MN
"Pinnacle Financial Partners, Inc.",55561-97764-BB
El Salvador,95098-57707-AN
Anheuser-Busch Inbev SA,15029-26380-HE
SL Green Realty Corporation,76983-39505-IG
Esterline Technologies Corporation,21337-26687-JN
SQM - Yumbes,78487-65678-JM
R.R. Donnelley & Sons Company,4599-27360-DA
Tata Motors Ltd,90405-31217-BD
Radomiro Tomic,22578-95660-IK
"Rush Enterprises, Inc.",24098-63700-BN
Las Luces,56248-7763-BE
Virco Manufacturing Corporation,86095-46387-IL
Crawford & Company,17279-98344-NG
United Insurance Holdings Corp.,61881-74129-BJ
Terreno Realty Corporation,33880-30773-IN
Nuveen Energy MLP Total Return Fund,23184-65387-EF
First Trust South Korea AlphaDEX Fund,42683-50920-AN
"The Chefs' Warehouse, Inc.",39684-21218-KM
PureFunds ETFx HealthTech ETF,49850-25332-EE
Zion Oil & Gas Inc,43660-81305-EK
San José,1481-19673-FK
Enel Generacion Chile S.A.,99854-37456-AO
Regal Entertainment Group,66850-57376-ID
"Biocept, Inc.",25579-84294-EJ
Chuquicamata,82206-3959-KJ
Kilroy Realty Corporation,78887-64872-OL
"Aspen Technology, Inc.",76138-93433-NK
Kamada Ltd.,51086-72902-IF
"Clear Channel Outdoor Holdings, Inc.",27121-23817-BD
Pirquitas,51829-95020-OB
"FairPoint Communications, Inc.",91024-24029-JD
U.S. Energy Corp.,11875-99751-DA
Apollo Senior Floating Rate Fund Inc.,49420-25473-GL
III de Atacama Minerals - Aguas Blancas,65375-59998-LO
Pascua,59401-1077-NB
El Abra,55775-75580-FO
Arch Capital Group Ltd.,36760-22604-MF
Maganeso III de Atacama,76717-92060-NO
Kamada Ltd.,54261-19312-AD
"Mid-America Apartment Communities, Inc.",55702-87697-KD
SQM Salar,68391-96795-BM
Elenita,3093-65787-EJ
SCL Chemetall,6656-3061-DA
"Ashford Hospitality Prime, Inc.",33601-29677-MF
"Meridian Waste Solutions, Inc",10112-6770-BB
Western Asset Bond Fund,55791-46978-BB
CMP - Algarrobo,49709-16542-MD
Urstadt Biddle Properties Inc.,60221-18289-JN
China Cord Blood Corporation,41862-10236-ED
"Dynex Capital, Inc.",34796-87538-MN
Cabot Corporation,26981-18290-NO
Intracampos,34154-267-FI
Royal Caribbean Cruises Ltd.,56167-12902-BB
Marte Lobo,70329-97744-GL
Randgold Resources Limited,31442-12709-BF
Tata Motors Ltd,91820-17549-ND
Comcast Corporation,6072-76248-OE
Kopin Corporation,91709-33054-NB
"Investors Bancorp, Inc.",48403-63220-EH
Unisys Corporation,9352-42668-HN
Garrison Capital Inc.,53574-89817-BL
Inacesa - El Jilguero,98854-22399-BM
Hamilton Lane Incorporated,89530-6230-NB
"Cleveland BioLabs, Inc.",94503-47640-LA
El Teniente,75091-32255-HG
Jazz Pharmaceuticals plc,41620-78728-ME
Old Republic International Corporation,66348-36052-EJ
Novelion Therapeutics Inc.,26219-23702-GA
TICC Capital Corp.,84190-52265-DF
Blackstone GSO Long Short Credit Income Fund,20958-36871-LF
Quiborax - Ascotán,54893-36680-MN
Los Pelambres,81332-81009-BK
AGCO Corporation,88882-41705-ON
Colico Sur,52030-16838-NA
"HD Supply Holdings, Inc.",11377-99575-GI
Pure Cycle Corporation,9661-60991-BE
Carvana Co.,12933-70841-AN
"RiverNorth Opportunities Fund, Inc.",96445-34786-MI
Royal Caribbean Cruises Ltd.,84246-40535-MD
Don Alberto,64754-3897-ID
Pure Cycle Corporation,89346-77872-BB
"China Lodging Group, Limited",7822-74325-GB
Tata Motors Ltd,59960-39608-AJ
"RiverNorth Opportunities Fund, Inc.",36252-30270-BE
Caupolicán,40053-64445-BJ
Nabriva Therapeutics AG,91218-41936-NF
"Rush Enterprises, Inc.",53299-56322-DN
Sierra Gorda,10244-71554-FL
EPR Properties,60999-34001-AJ
Northrop Grumman Corporation,66758-16511-KA
Nuveen AMT-Free Municipal Value Fund,32448-59991-KN
La Picarda,56339-28865-DL
Hamilton Lane Incorporated,2322-40927-GO
"Chegg, Inc.",44484-40516-IB
Arlington Asset Investment Corp,39890-50092-MM
El Soldado,97247-27719-IG
Gilat Satellite Networks Ltd.,97214-5094-EI
Neff Corporation,44391-4588-MD
Ministro Hales,27359-9581-KM
Kite Realty Group Trust,21696-20182-LO
Inacesa - El Way,5667-19913-HM
"Evolving Systems, Inc.",38737-93536-MK
"Biocept, Inc.",45436-25770-ON
"Commerce Bancshares, Inc.",32825-57909-FF
Lomas Bayas,37899-69575-JE
Fidus Investment Corporation,2785-14264-BG
Guanaco,27010-99256-GG
3M Company,72602-7867-FO
Navío,85504-5039-ED
HollyFrontier Corporation,65461-79831-BA
Zaldívar,17407-33303-BF
Guaranty Bancorp,13605-57942-LE
"Sarepta Therapeutics, Inc.",81674-90392-JF
"Silicon Laboratories, Inc.",90920-4453-MK
Data Processing,96253-80323-MJ
Jerónimo,3103-13348-LE
Manantial,55282-51471-OJ
"Mirna Therapeutics, Inc.",97458-91387-GO
ENGlobal Corporation,33895-28559-BB
Suncor EnergyInc.,56778-66900-FK
Apollo Senior Floating Rate Fund Inc.,38952-96814-ID
"Idera Pharmaceuticals, Inc.",86521-21830-BJ
E.I. du Pont de Nemours and Company,82592-7022-EG
Arenal,93603-93820-OB
Chimberos,4017-20981-BM
SQM - Pedro de Valdivia,67261-57290-JF
Check-Cap Ltd.,50141-35660-JF
Torchmark Corporation,735-20118-AH
"Mid-America Apartment Communities, Inc.",17238-65814-HF
Pucobre,96686-89119-LH
"TC PipeLines, LP",50192-37617-AJ
Inacesa - El Jilguero,1751-72246-MD
China Cord Blood Corporation,7741-93978-EB
Alhué,558-14117-DO
El Abra,82997-23154-MN
"Rush Enterprises, Inc.",91818-73058-HB
Envision Healthcare Corporation,71089-34867-BK
Nuveen Connecticut Quality Municipal Income Fund,27007-17702-AO
Don Alberto,82214-90154-BK
Spence,58356-26632-EK
"Western New England Bancorp, Inc.",14140-1444-BF
"China Lodging Group, Limited",98878-11411-BN
Array BioPharma Inc.,33013-15412-BG
Don Alberto,61603-45204-FD
Altamira,41488-55190-DD
JM Global Holding Company,90364-68297-EB
Cabot Corporation,11319-57142-BF
"International Seaways, Inc.",22503-96649-FF
Michilla,26191-68100-DF
"FTI Consulting, Inc.",5980-26906-JH
"Avon Products, Inc.",50724-31315-ND
Biglari Holdings Inc.,22091-72963-LB
Crawford & Company,33774-88645-GB
Manto Verde,38916-89097-IH
Tranquilo,63785-42388-KA
Pucobre,24534-52175-NJ
Refugio,12413-75154-BA
Microsemi Corporation,78619-65867-HI
"LM Funding America, Inc.",20119-51408-JB
"Gray Television, Inc.",60927-29692-GK
Michilla,2382-35823-JB
Peckett,40707-61758-OM
HollyFrontier Corporation,77686-36978-FO
Andacollo Cobre,80184-89686-FI
Microsemi Corporation,11524-48182-IG
EPR Properties,34908-63286-LF
Ceragon Networks Ltd.,66841-32208-JI
Celite - Tana,73340-91978-NL
Urstadt Biddle Properties Inc.,60477-94829-BD
"First Financial Bankshares, Inc.",29118-4925-OD
Moog Inc.,57134-31167-LE
Las Arenitas,74833-4506-FK
Cambrex Corporation,52863-69994-LN
Los Pelambres,47157-21953-HK
"FTI Consulting, Inc.",39871-31748-OB
Global Partner Acquisition Corp.,51777-6597-OI
"LM Funding America, Inc.",93991-78591-GN
"Nustar GP Holdings, LLC",97405-45448-BI
Mantos Blancos,38542-21087-AI
La Pepa,3881-57828-BF
Alhué,62613-85627-GH
Intracampos,47044-78691-DE
Container Store (The),7674-13746-HB
PowerShares BuyBack Achievers Portfolio,716-54204-KG
Nuveen Municipal High Income Opportunity Fund,66606-92764-EH
Caleta El Cobre,48775-6169-JK
"Forterra, Inc.",71308-79418-KD
Gabriela Mistral,60396-60938-KB
Array BioPharma Inc.,7230-27386-GB
Pucobre,36589-88267-BJ
La Productora,56581-47565-JB
Data Processing,41058-80984-HD
Entercom Communications Corporation,18-73877-DM
"Rush Enterprises, Inc.",87357-84948-AD
Inacesa - El Jilguero,87622-14098-II
Old Republic International Corporation,15529-14486-OD
Cambrex Corporation,17985-58593-JF
"Tootsie Roll Industries, Inc.",19790-12044-LG
Pascua,97341-30019-OO
"Spark Energy, Inc.",99251-208-LL
Kopin Corporation,86625-82256-HN
Gilat Satellite Networks Ltd.,36427-25616-GB
Isla Guarello,53076-51397-MD
Franke,39690-62305-JH
El Tesoro,26551-95521-IH
RenaissanceRe Holdings Ltd.,4345-22855-ID
Inacesa - El Way,49779-28589-OB
"Meridian Waste Solutions, Inc",58589-96060-JN
"Hub Group, Inc.",1675-77970-JN
Bright Scholar Education Holdings Limited,36266-77375-OJ
PowerShares KBW High Dividend Yield Financial Portfolio,69856-72732-EI
Pirquitas,54280-94756-OB
Novanta Inc.,16629-33288-LI
Haldeman - Sagasca,7004-94417-DE
Radomiro Tomic,9512-61003-BI
"SolarEdge Technologies, Inc.",71098-40840-KA
"UMH Properties, Inc.",63895-30320-GM
NVIDIA Corporation,53317-35259-OF
"Gray Television, Inc.",16919-97250-EE
El Soldado,39924-53945-BJ
"Sportsman's Warehouse Holdings, Inc.",18674-39622-DO
Vina Concha Y Toro,78770-56887-JI
"FTI Consulting, Inc.",29890-62344-OF
"Everspin Technologies, Inc.",36607-84474-AH
"Chegg, Inc.",44960-42650-JL
Western Alliance Bancorporation,17173-35578-ID
Dorado,85588-82349-EM
"CenterPoint Energy, Inc.",38342-54304-BE
E*TRADE Financial Corporation,51888-24606-KK
Hamilton Lane Incorporated,1716-23463-DB
Cóndor,13100-8426-HE
"Sierra Oncology, Inc.",27152-17313-JH
Escondida,1447-54586-AA
"Ellie Mae, Inc.",89963-54967-OF
"MasTec, Inc.",26235-19042-EN
DRDGOLD Limited,99292-70610-EJ
Chimberos,87830-38253-LH
Pampa Camarones,12249-34368-JO
Celite - Tana,22465-46361-KB
Cohen & Steers Reit and Preferred Income Fund Inc,3082-84434-FJ
"Hawkins, Inc.",82852-44297-OM
"Silicon Laboratories, Inc.",83067-2888-BD
Galectin Therapeutics Inc.,14720-91704-NF
"ILG, Inc",72686-89823-JG
Alhué,46516-8390-KB
Lenga,36839-37627-FD
United Insurance Holdings Corp.,7334-15986-MJ
Celite - Tilviche,48717-86377-BB
Gabriela Mistral,40607-20272-BF
"H&R Block, Inc.",35923-3058-DJ
Voya Global Equity Dividend and Premium Opportunity Fund,44527-37056-HI
KT Corporation,28415-72429-KE
El Teniente,99780-41663-JN
Randgold Resources Limited,25819-75243-IN
Cosayach - Soledad,6865-80421-OF
Kamada Ltd.,49332-89755-EG
Great Elm Capital Corp.,37157-808-BA
Great Plains Energy Inc,33990-65187-LB
"Gabelli Equity Trust, Inc. (The)",60674-93852-GL
Chimborazo,95871-45045-AL
First Trust Emerging Markets Small Cap AlphaDEX Fund,79458-73212-FJ
Pure Cycle Corporation,40323-71735-EN
Inacesa - El Jilguero,22820-64521-DE
"Under Armour, Inc.",42003-13826-EH
El Tofo,87676-67779-BH
West Corporation,84458-92602-HL
Clifton Bancorp Inc.,55669-11474-IG
Northern Trust Corporation,65952-6531-BO
Linderos,91196-49533-NI
Cerro Bayo,37643-9315-EJ
AmerisourceBergen Corporation (Holding Co),53821-53433-KB
PowerShares Golden Dragon China Portfolio,20150-52331-EA
Celite - Tilviche,58998-26171-BH
Bronce de Petorca,15003-6831-MD
Nuveen AMT-Free Municipal Value Fund,72377-186-BI
"Dupont Fabros Technology, Inc.",61264-59940-FH
Salesforce.com Inc,8563-47768-DL
SQM - Pedro de Valdivia,89514-18937-AJ
"Mid-America Apartment Communities, Inc.",97810-57367-ND
Costamare Inc.,57091-24294-EK
"Hurco Companies, Inc.",18183-8218-EE
"Westbury Bancorp, Inc.",48207-74737-FB
Toll Brothers Inc.,30634-35878-OL
"Hurco Companies, Inc.",15540-87223-IB
Isla Riesco,45628-66772-BK
Cerro Imán,54412-50435-EI
"Gray Television, Inc.",5677-16282-JA
"Sarepta Therapeutics, Inc.",30874-53789-OL
"Mirna Therapeutics, Inc.",5225-64518-EN
Cóndor,89098-70669-AF
CMP - Romeral,70556-81099-NA
Natl Westminster Pfd,75446-35572-FB
First Trust South Korea AlphaDEX Fund,56798-95962-EK
Celite - Carol,90837-5044-AO
"Evolving Systems, Inc.",58993-73517-BB
"Nutanix, Inc.",28579-84705-JN
CMP - Algarrobo,57867-50578-AD
Fair Isaac Corporation,94401-41772-LK
Applied DNA Sciences Inc,59410-67819-MN
RenaissanceRe Holdings Ltd.,88089-58453-HH
"PDF Solutions, Inc.",2451-25795-NK
"HCA Healthcare, Inc.",48675-73058-MF
Elenita,48168-6529-MD
"TC PipeLines, LP",68990-5275-OL
Walter Investment Management Corp.,21619-97890-GG
El Tofo,8838-16046-KJ
EQT Corporation,14697-75239-BJ
First Trust Senior Loan Fund ETF,38198-28196-LI
SQM - Mapocho,91023-5038-GI
Gilat Satellite Networks Ltd.,55455-46956-IH
El Salvador,98503-59687-LL
PowerShares BuyBack Achievers Portfolio,63753-23463-KG
Hamilton Lane Incorporated,38055-70519-LD
Garrison Capital Inc.,93690-23159-MG
Dos Amigos,71895-91107-MH
"MiMedx Group, Inc",47763-77540-BB
